Product,Version,Supplier,License URL,Homepage URL,Download URL,License Proof URL,Link Type,License Name
jersey-client,2.35,Eclipse Foundation,jquery.org/license,https://www.eclipse.org/org/foundation/,https://mvnrepository.com/artifact/org.glassfish.jersey.core/jersey-client/2.35,https://mvnrepository.com/artifact/org.glassfish.jersey.core/jersey-client/2.35,Dynamic,jQuery license
jersey-common,2.35,Eclipse Foundation,jquery.org/license,https://www.eclipse.org/org/foundation/,https://mvnrepository.com/artifact/org.glassfish.jersey.core/jersey-common/2.35,https://mvnrepository.com/artifact/org.glassfish.jersey.core/jersey-common/2.35,Dynamic,jQuery license
jersey-server,2.35,Eclipse Foundation,jquery.org/license,https://www.eclipse.org/org/foundation/,https://mvnrepository.com/artifact/org.glassfish.jersey.core/jersey-server/2.35,https://mvnrepository.com/artifact/org.glassfish.jersey.core/jersey-server/2.35,Dynamic,jQuery license
jersey-bean-validation,2.35,Eclipse Foundation,jquery.org/license,https://www.eclipse.org/org/foundation/,https://mvnrepository.com/artifact/org.glassfish.jersey.ext/jersey-bean-validation/2.35,https://mvnrepository.com/artifact/org.glassfish.jersey.ext/jersey-bean-validation/2.35,Dynamic,jQuery license
jersey-entity-filtering,2.35,Eclipse Foundation,jquery.org/license,https://www.eclipse.org/org/foundation/,https://mvnrepository.com/artifact/org.glassfish.jersey.ext/jersey-entity-filtering/2.35,https://mvnrepository.com/artifact/org.glassfish.jersey.ext/jersey-entity-filtering/2.35,Dynamic,jQuery license
jersey-spring5,2.35,Eclipse Foundation,jquery.org/license,,https://mvnrepository.com/artifact/org.glassfish.jersey.ext/jersey-spring5/2.35,https://mvnrepository.com/artifact/org.glassfish.jersey.ext/jersey-spring5/2.35,Dynamic,jQuery license
jersey-hk2,2.35,Eclipse Foundation,jquery.org/license,https://www.eclipse.org/org/foundation/,https://mvnrepository.com/artifact/org.glassfish.jersey.inject/jersey-hk2/2.35,https://mvnrepository.com/artifact/org.glassfish.jersey.inject/jersey-hk2/2.35,Dynamic,jQuery license
jersey-media-json-jackson,2.35,Eclipse Foundation,jquery.org/license,https://www.eclipse.org/org/foundation/,https://mvnrepository.com/artifact/org.glassfish.jersey.media/jersey-media-json-jackson/2.35,https://mvnrepository.com/artifact/org.glassfish.jersey.media/jersey-media-json-jackson/2.35,Dynamic,jQuery license
hibernate-validator,6.2.0.Final,org.hibernate.validator,https://www.apache.org/licenses/LICENSE-2.0,,https://mvnrepository.com/artifact/org.hibernate.validator/hibernate-validator/6.2.0.Final,https://mvnrepository.com/artifact/org.hibernate.validator/hibernate-validator/6.2.0.Final,Dynamic,Apache License; Version 2.0
javassist,3.25.0-GA,Shigeru Chiba; www.javassist.org,https://www.mozilla.org/en-US/MPL/1.1,http://www.javassist.org/,https://mvnrepository.com/artifact/org.javassist/javassist/3.25.0-GA,https://mvnrepository.com/artifact/org.javassist/javassist/3.25.0-GA,Dynamic,Mozilla Public License Version 1.1
jboss-logging,3.4.1.Final,JBoss by Red Hat,http://repository.jboss.org/licenses/cc0-1.0.txt,http://www.jboss.org,https://mvnrepository.com/artifact/org.jboss.logging/jboss-logging/3.4.1.Final,https://mvnrepository.com/artifact/org.jboss.logging/jboss-logging/3.4.1.Final,Dynamic,PUBLIC DOMAIN
annotations,13.0,,https://www.apache.org/licenses/LICENSE-2.0,http://www.jetbrains.org,https://mvnrepository.com/artifact/org.jetbrains/annotations/13.0,https://mvnrepository.com/artifact/org.jetbrains/annotations/13.0,Dynamic,Apache License; Version 2.0
kotlin-reflect,1.6.10,JetBrains,https://www.apache.org/licenses/LICENSE-2.0,https://kotlinlang.org/,https://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-reflect/1.6.10,https://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-reflect/1.6.10,Dynamic,Apache License; Version 2.0
kotlin-stdlib,1.6.10,JetBrains,https://www.apache.org/licenses/LICENSE-2.0,https://kotlinlang.org/,https://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-stdlib/1.6.10,https://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-stdlib/1.6.10,Dynamic,Apache License; Version 2.0
kotlin-stdlib-common,1.6.10,JetBrains,https://www.apache.org/licenses/LICENSE-2.0,https://kotlinlang.org/,https://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-stdlib-common/1.6.10,https://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-stdlib-common/1.6.10,Dynamic,Apache License; Version 2.0
kotlin-stdlib-jdk7,1.6.10,JetBrains,https://www.apache.org/licenses/LICENSE-2.0,https://kotlinlang.org/,https://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-stdlib-jdk7/1.6.10,https://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-stdlib-jdk7/1.6.10,Dynamic,Apache License; Version 2.0
